Code Name	Organisation Name	UPC Short Name	Organisation Type	Web URL	In Use	School Code	Institution Code	Placement Code	Sponsor Code	Department Code	User Defined Field 01	User Defined Field 02	User Defined Field 03	User Defined Field 04	User Defined Field 05	User Defined Field 06	User Defined Field 07	User Defined Field 08	User Defined Field 09	User Defined Field 10	User Defined Field 11	User Defined Field 12	User Defined Field 13	User Defined Field 14	User Defined Field 15	User Defined Field 16	User Defined Field 17	User Defined Field 18	User Defined Field 19	User Defined Field 20	Agent code	Level	Parent Organisation	Eng Primary Lang?	Status	Status start date	Status end date	Academic year style	Admissibility	Country code	Region code
135	University of Oslo		HEI	"http://www.uio.no	"	Y						NO	IAU-019889	IMPORT~27/02/20																	Universitetet i Oslo											
136	NHS Education for Scotland		OTH	"http://www.nes.scot.nhs.uk/	"	Y						XH	STA-00136	IMPORT~27/02/20																	NHS Education for Scotland											
137	University of Cologne		HEI	"http://www.uni-koeln.de	"	Y						DE	IAU-019375	IMPORT~27/02/20																	Universität zu Köln											
138	University of Turin		HEI	"http://www.unito.it	"	Y						IT	IAU-018800	IMPORT~27/02/20																	Università degli studi di Torino											
139	University of Fribourg		HEI	"http://www.unifr.ch	"	Y						CH	IAU-019584	IMPORT~27/02/20																	Université de Fribourg - Universität Freiburg											
140	Stockholm University		HEI	"http://www.su.se	"	Y						SE	IAU-015886	IMPORT~27/02/20																	Stockholms universitet											
141	Roma Tre University		HEI	"http://www.uniroma3.it	"	Y						IT	IAU-018809	IMPORT~27/02/20																	Università degli studi Roma Tre											
142	Macquarie University		HEI	"http://www.mq.edu.au	"	Y						AU	IAU-011136	IMPORT~27/02/20																	Macquarie University											
143	The University of Stirling		HEI	"http://www.stir.ac.uk	"	Y						XH	IAU-016596	RNS3~30/04/20																	The University of Stirling											
144	Heriot-Watt University		HEI	"http://www.hw.ac.uk	"	Y		H24				XH	IAU-007190	RNS3~19/11/20																	Heriot-Watt University											
145	The University of Glasgow		HEI	"http://www.gla.ac.uk	"	Y		G28				XH	IAU-016575	RNS3~24/11/20																	The University of Glasgow											
146	University of Strathclyde		HEI	"http://www.strath.ac.uk	"	Y						XH	IAU-020521	RNS3~30/04/20																	University of Strathclyde											
147	The University of Dundee		HEI	"http://www.dundee.ac.uk	"	Y						XH	IAU-016569	RNS3~30/04/20																	The University of Dundee											
148	The University of Edinburgh		HEI	"http://www.ed.ac.uk	"	Y						XH	IAU-016570	IMPORT~27/02/20																	The University of Edinburgh											
149	Stellenbosch University		HEI	"http://www.sun.ac.za	"	Y						ZA	IAU-015861	IMPORT~27/02/20																	Stellenbosch University - Universiteit Stellenbosch											
150	University of Cape Town		HEI	"http://www.uct.ac.za	"	Y						ZA	IAU-020104	IMPORT~27/02/20																	University of Cape Town											
151	University of KwaZulu-Natal		HEI	"http://www.ukzn.ac.za	"	Y						ZA	IAU-020219	IMPORT~27/02/20																	University of KwaZulu-Natal											
152	University of Malawi		HEI	"http://www.unima.mw	"	Y						MW	IAU-020268	IMPORT~27/02/20																	University of Malawi											
153	The University of Sydney		HEI	"http://www.usyd.edu.au	"	Y						AU	IAU-020530	IMPORT~27/02/20																	The University of Sydney											
154	University of Catania		HEI	"http://www.unict.it	"	Y						IT	IAU-018774	IMPORT~27/02/20																	Università degli studi di Catania											
155	Moscow State University named after M.V. Lomonosov		HEI	"http://www.msu.ru	"	Y						RU	IAU-012136	IMPORT~27/02/20																	Moskovskij Gosudarstvennyj Universitet im. M.V. Lomonosova											
58	"Rutgers, The State University of New Jersey-New Brunswick Campus"		HEI	"http://nb.rutgers.edu	"	Y						US	IAU-014151	IMPORT~27/02/20																	"Rutgers, The State University of New Jersey-New Brunswick Campus"											
59	Scripps College		HEI	"http://www.scrippscollege.edu/	"	Y						US	IAU-014585	IMPORT~27/02/20																	Scripps College											
60	Smith College		HEI	"http://www.smith.edu	"	Y						US	IAU-015490	IMPORT~27/02/20																	Smith College											
61	Southwest Baptist University		HEI	"http://www.sbuniv.edu	"	Y						US	IAU-015648	IMPORT~27/02/20																	Southwest Baptist University											
63	SUNY Brockport		HEI	"http://www.brockport.edu	"	Y						US	IAU-015828	RNS3~18/02/21																	State University of New York College at Brockport											
64	Sweet Briar College		HEI	"http://www.sbc.edu	"	Y						US	IAU-016021	IMPORT~27/02/20																	Sweet Briar College											
65	University of North Carolina at Chapel Hill		HEI	"http://www.unc.edu	"	Y						US	IAU-020345	IMPORT~27/02/20																	University of North Carolina at Chapel Hill											
66	The University of Arizona		HEI	"http://www.arizona.edu	"	Y						US	IAU-016557	IMPORT~27/02/20																	The University of Arizona											
67	University of Notre Dame		HEI	"http://www.nd.edu	"	Y						US	IAU-020359	IMPORT~27/02/20																	University of Notre Dame											
68	University of San Francisco		HEI	"http://www.usfca.edu	"	Y						US	IAU-020473	IMPORT~27/02/20																	University of San Francisco											
69	University of Scranton		HEI	"http://www.scranton.edu	"	Y						US	IAU-020485	IMPORT~27/02/20																	University of Scranton											
70	Ursinus College		HEI	"http://www.ursinus.edu	"	Y						US	IAU-020779	IMPORT~27/02/20																	Ursinus College											
71	University Studies Abroad Consortium		HEI	"http://usac.unr.edu/	"	Y						US	STA-00071	IMPORT~27/02/20																	University Studies Abroad Consortium											
72	Virginia Military Institute		HEI	"http://www.vmi.edu/	"	Y						US	STA-00072	IMPORT~27/02/20																	Virginia Military Institute											
73	Virginia Polytechnic Institute and State University		HEI	"http://www.vt.edu	"	Y						US	IAU-020908	IMPORT~27/02/20																	Virginia Polytechnic Institute and State University											
74	Washington College		HEI	"http://www.washcoll.edu	"	Y						US	IAU-021144	IMPORT~27/02/20																	Washington College											
75	Wellesley College		HEI	"http://www.wellesley.edu	"	Y						US	IAU-021170	IMPORT~27/02/20																	Wellesley College											
76	Whitman College		HEI	"http://www.whitman.edu	"	Y						US	IAU-021254	IMPORT~27/02/20																	Whitman College											
77	University of Vienna		HEI	"http://www.univie.ac.at	"	Y						AT	IAU-019373	IMPORT~27/02/20																	Universität Wien											
78	University of Melbourne		HEI	"http://www.unimelb.edu.au	"	Y						AU	IAU-020295	IMPORT~27/02/20																	University of Melbourne											
79	James Cook University		HEI	"http://www.jcu.edu.au	"	Y						AU	IAU-009807	IMPORT~27/02/20																	James Cook University											
80	University of Toronto		HEI	"http://utoronto.ca	"	Y						CA	IAU-020599	IMPORT~27/02/20																	University of Toronto											
81	Queen's University		HEI	"http://queensu.ca	"	Y						CA	IAU-013841	IMPORT~27/02/20																	Queen's University											
82	University of Western Ontario		HEI	"http://www.uwo.ca	"	Y						CA	IAU-020629	IMPORT~27/02/20																	University of Western Ontario											
